Recording,Timestamp,Species Text,Calls [#],Mean Peak Frequency [kHz],Mean Max Frequency [kHz],Mean Min Frequency [kHz],Mean Call Lenght [ms],Mean Call Distance [ms],Temperature [°C],Latitude [WGS84],Longitude [WGS84],Notes
24910077,24/08/2017 20:23,Myotis myotis,2,40,50.8,38.6,3,376,18,51.761918,0.515272,
24910078,24/08/2017 20:23,Plecotus auritus,9,41.1,46.7,38.5,2,50,18,51.761918,0.515272,
24910079,24/08/2017 20:23,Myotis myotis,15,66.3,77,61.7,2,50,18,51.762032,0.515248,
24910098,24/08/2017 20:25,Nyctalus noctula,30,21,23.7,18.5,13.4,80,17,51.762567,0.513523,
24910099,24/08/2017 20:25,Nyctalus noctula,8,26.9,29.8,23.9,7,190,17,51.762567,0.513523,
24910102,24/08/2017 20:26,Pipistrellus pipistrellus,7,50,40.3,34.5,3,174,17,51.762197,0.512655,
24910103,24/08/2017 20:26,Pipistrellus pipistrellus,9,52,42.5,36,2,70,17,51.762197,0.512655,
24910104,24/08/2017 20:26,Pipistrellus pygmaeus,6,56,55.2,48,3,80,17,51.762132,0.512672,
24910112,24/08/2017 20:27,Nyctalus noctula,17,19.7,22.2,18,21.2,30,18,51.761557,0.512905,
24910115,24/08/2017 20:28,Pipistrellus pygmaeus,8,42.6,46.8,41.8,1,80,18,51.76122,0.513038,
24910116,24/08/2017 20:28,Pipistrellus pygmaeus,6,56.6,64.6,55.9,3,170,18,51.761105,0.513075,
24910117,24/08/2017 20:28,Pipistrellus pygmaeus,6,58,57.4,50.3,3,70,18,51.761105,0.513075,
24910118,24/08/2017 20:28,Pipistrellus pygmaeus,6,43.3,47,42.6,5,268,18,51.761105,0.513075,
24910119,24/08/2017 20:28,Pipistrellus pipistrellus,8,45,52.6,43.9,3,70,18,51.760843,0.513103,
24910120,24/08/2017 20:28,Pipistrellus pygmaeus,5,45.2,50.8,41.8,4,280,18,51.760843,0.513103,
24910121,24/08/2017 20:28,Pipistrellus pygmaeus,7,58.1,65.5,57,3,90,18,51.760698,0.513168,
24910122,24/08/2017 20:28,Pipistrellus pygmaeus,2,38.6,43.2,35.9,3.6,730,18,51.760577,0.513273,
24910125,24/08/2017 20:29,Pipistrellus pipistrellus,55,46.5,56.7,45.6,5,90,18,51.760163,0.513393,
24910126,24/08/2017 20:29,Pipistrellus pipistrellus,139,47.8,59.4,46.6,3,50,18,51.76006,0.513463,
24910127,24/08/2017 20:29,Pipistrellus pipistrellus,27,46,43.5,34.7,3,80,18,51.76006,0.513463,
24910128,24/08/2017 20:29,Pipistrellus pipistrellus,18,43.2,53.7,42.2,3,80,18,51.759817,0.513557,
24910130,24/08/2017 20:30,Pipistrellus pygmaeus,24,56.1,64.8,55.1,3,70,18,51.759695,0.51358,
24910131,24/08/2017 20:30,Pipistrellus pygmaeus,8,50.2,57.7,49.2,3,80,18,51.759558,0.513632,
24910132,24/08/2017 20:30,Pipistrellus pygmaeus,4,40.4,44.8,38.1,3,213,18,51.759558,0.513632,
