FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,DATE,TIME,HOUR,DATE-12,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID
,S4U01616_20170620_212640.wav,0,0,5.848,S4U01616_20170620_212640_001,20/06/2017,21:26:40,21,20/06/2017,09:26:40,9,NYCLEI,5,5,1,0.386177,NYCNOC,5,22.901,4.05,5.291,23.145,22.651,22.904,782.643,22.918,1.973,1.694,3.514,1.05,1,Noise
,S4U01616_20170620_212648.wav,0,0,5.772,S4U01616_20170620_212648_001,20/06/2017,21:26:48,21,20/06/2017,09:26:48,9,NYCNOC,4,2,0.5,0.830192,PIPPIP,4,19.244,-6.15,4.146,19.525,19.01,19.217,944.037,19.17,1.703,69.846,2.927,1.55,1,Noise
,S4U01616_20170620_212715.wav,0,0,4.258,S4U01616_20170620_212715_001,20/06/2017,21:27:15,21,20/06/2017,09:27:15,9,Noise,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
,S4U01616_20170620_212726.wav,0,0,4.28,S4U01616_20170620_212726_001,20/06/2017,21:27:26,21,20/06/2017,09:27:26,9,NYCNOC,4,2,0.5,0.342974,,4,22.958,-5.48,2.842,23.254,22.678,22.967,598.828,22.933,0.465,34.558,2.052,1.85,1,Noise
,S4U01616_20170620_212818.wav,0,0,12.166,S4U01616_20170620_212818_001,20/06/2017,21:28:18,21,20/06/2017,09:28:18,9,PIPPYG,18,4,0.222,0.274326,PIPPIP,18,38.867,-4.15,5.288,39.882,37.671,38.921,332.283,38.899,2.3,-153.664,4.261,7.33,1,Noise
,S4U01616_20170620_212902.wav,0,0,5.218,S4U01616_20170620_212902_001,20/06/2017,21:29:02,21,20/06/2017,09:29:02,9,NYCNOC,3,1,0.333,0.638243,,3,25.651,2.34,6.305,26.135,25.195,25.691,956.654,25.707,3.212,-83.446,6.047,0.87,1,Noise
,S4U01616_20170620_212924.wav,0,0,5.258,S4U01616_20170620_212924_001,20/06/2017,21:29:24,21,20/06/2017,09:29:24,9,NYCNOC,3,0,0,0.341288,EPTSER,3,25.641,-0.9,8.574,25.961,25.28,25.646,1542.448,25.635,2.353,-44.268,5.81,1.93,1,Noise
,S4U01616_20170620_212941.wav,0,0,12.326,S4U01616_20170620_212941_001,20/06/2017,21:29:41,21,20/06/2017,09:29:41,9,NYCNOC,19,3,0.158,0.237499,BARBAR,19,30.391,-2.47,5.432,31.156,29.86,30.405,609.174,30.352,2.279,18.18,4.196,12.12,1,Noise
,S4U01616_20170620_213000.wav,0,0,6.528,S4U01616_20170620_213000_001,20/06/2017,21:30:00,21,20/06/2017,09:30:00,9,NYCNOC,7,1,0.143,0.381254,,7,29.706,-7.06,8.153,30.196,29.117,29.624,946.907,29.532,3.519,-49.773,5.615,6.92,1,Noise
,S4U01616_20170620_213008.wav,0,0,4.088,S4U01616_20170620_213008_001,20/06/2017,21:30:08,21,20/06/2017,09:30:08,9,NYCNOC,13,6,0.462,0.376539,NYCLEI,13,24.715,2.62,5.883,25.231,24.475,24.757,288.874,24.763,2.444,31.542,4.468,3.3,1,Noise
,S4U01616_20170620_213014.wav,0,0,12.404,S4U01616_20170620_213014_001,20/06/2017,21:30:14,21,20/06/2017,09:30:14,9,NYCNOC,29,14,0.483,0.594427,NYCLEI,29,23.431,-0.8,5.026,23.795,23.026,23.421,328.503,23.401,2.475,-8.62,4.032,9.26,1,Noise
,S4U01616_20170620_213046.wav,0,0,7.256,S4U01616_20170620_213046_001,20/06/2017,21:30:46,21,20/06/2017,09:30:46,9,NYCLEI,10,5,0.5,0.255016,,10,29.878,-3.27,3.576,30.425,29.362,29.829,465.922,29.777,1.141,55.164,2.729,2.41,1,Noise
,S4U01616_20170620_220045.wav,0,0,15,S4U01616_20170620_220045_001,20/06/2017,22:00:45,22,20/06/2017,10:00:45,10,PIPPIP,67,56,0.836,0.830244,,67,45.979,27.9,2.93,60.019,45.259,48.523,217.6,46.868,1.702,574.238,2.533,22.8,1,PIPPIP
,S4U01616_20170620_220210.wav,0,0,4.524,S4U01616_20170620_220210_001,20/06/2017,22:02:10,22,20/06/2017,10:02:10,10,PIPPIP,11,9,0.818,0.765943,PIPNAT,11,45.046,5.31,2.781,53.407,44.282,46.497,142.699,45.434,1.483,460.042,2.497,3.74,1,PIPPIP
,S4U01616_20170620_220338.wav,0,0,4.428,S4U01616_20170620_220338_001,20/06/2017,22:03:38,22,20/06/2017,10:03:38,10,PIPPIP,13,12,0.923,0.814674,PIPNAT,13,45.268,33.45,3.282,56.318,44.741,47.203,185.027,46.134,1.876,477.175,2.834,4.61,1,PIPPIP
,S4U01616_20170620_220423.wav,0,0,7.924,S4U01616_20170620_220423_001,20/06/2017,22:04:23,22,20/06/2017,10:04:23,10,PIPPIP,10,9,0.9,0.797305,PIPPYG,10,49.367,23.41,2.752,63.8,48.824,51.712,528.919,50.366,1.344,698.031,2.439,3.11,1,PIPPIP
,S4U01616_20170620_220433.wav,0,0,15,S4U01616_20170620_220433_001,20/06/2017,22:04:33,22,20/06/2017,10:04:33,10,PIPPIP,38,31,0.816,0.822066,PIPNAT,38,46.189,20.56,3.179,58.567,45.386,48.359,396.678,46.872,1.756,539.798,2.628,12.39,1,PIPPIP
,S4U01616_20170620_220450.wav,0,0,15,S4U01616_20170620_220450_001,20/06/2017,22:04:50,22,20/06/2017,10:04:50,10,PIPPIP,50,45,0.9,0.80955,,50,45.45,29.05,3.056,58.932,45.016,47.998,305.87,46.292,1.761,564.949,2.691,13.62,1,PIPPIP
,S4U01616_20170620_220507.wav,0,0,14.622,S4U01616_20170620_220507_001,20/06/2017,22:05:07,22,20/06/2017,10:05:07,10,PIPPIP,35,30,0.857,0.812877,PIPNAT,35,45.479,30.2,2.907,57.671,44.851,47.808,354.195,46.381,1.63,603.903,2.531,10.07,1,PIPPIP
,S4U01616_20170620_220523.wav,0,0,15,S4U01616_20170620_220523_001,20/06/2017,22:05:23,22,20/06/2017,10:05:23,10,PIPPIP,58,45,0.776,0.79375,PIPNAT,58,45.501,27.63,2.94,58.463,44.958,48.009,213.545,46.436,1.638,533.037,2.535,15.34,1,PIPPIP
,S4U01616_20170620_220540.wav,0,0,15,S4U01616_20170620_220540_001,20/06/2017,22:05:40,22,20/06/2017,10:05:40,10,PIPPIP,65,51,0.785,0.798421,,65,45.518,24.7,3.045,60.473,44.897,48.279,224.341,46.423,1.724,611.079,2.686,18.21,1,PIPPIP
,S4U01616_20170620_220559.wav,0,0,6.218,S4U01616_20170620_220559_001,20/06/2017,22:05:59,22,20/06/2017,10:05:59,10,PIPPIP,17,15,0.882,0.82167,PIPNAT,17,45.545,8.59,2.733,58.323,44.879,48.001,178.313,46.09,1.527,572.981,2.436,4.66,1,PIPPIP
,S4U01616_20170620_220609.wav,0,0,13.756,S4U01616_20170620_220609_001,20/06/2017,22:06:09,22,20/06/2017,10:06:09,10,PIPPIP,39,36,0.923,0.816849,PIPNAT,39,45.275,22.03,2.927,57.172,44.793,47.571,273.71,46.079,1.477,491.292,2.476,10.96,1,PIPPIP
,S4U01616_20170620_220943.wav,0,0,9.436,S4U01616_20170620_220943_001,20/06/2017,22:09:43,22,20/06/2017,10:09:43,10,PIPPIP,26,23,0.885,0.83196,,26,45.775,32.03,3.211,59.73,45.195,48.207,242.306,46.614,1.891,570.162,2.902,8.01,1,PIPPIP
,S4U01616_20170620_221002.wav,0,0,15,S4U01616_20170620_221002_001,20/06/2017,22:10:02,22,20/06/2017,10:10:02,10,PIPPIP,62,57,0.919,0.842115,PIPNAT,62,45.568,23.7,3.679,62.002,45.059,48.26,245.585,46.363,2.317,607.142,3.285,19.05,1,PIPPIP
,S4U01616_20170620_221021.wav,0,0,15,S4U01616_20170620_221021_001,20/06/2017,22:10:21,22,20/06/2017,10:10:21,10,PIPPIP,46,42,0.913,0.867201,PIPNAT,46,45.695,16.42,3.22,57.377,44.865,47.649,311.918,46.342,1.775,496.221,2.74,14.5,1,PIPPIP
,S4U01616_20170620_221038.wav,0,0,7.102,S4U01616_20170620_221038_001,20/06/2017,22:10:38,22,20/06/2017,10:10:38,10,PIPPIP,15,14,0.933,0.858205,PIPNAT,15,46.015,34.27,2.727,56.344,45.255,47.814,150.92,46.64,1.69,488.369,2.377,5.87,1,PIPPIP
,S4U01616_20170620_221047.wav,0,0,15,S4U01616_20170620_221047_001,20/06/2017,22:10:47,22,20/06/2017,10:10:47,10,PIPPIP,57,52,0.912,0.831071,PIPNAT,57,45.985,-2.23,3.178,55.174,45.069,47.446,253.898,46.417,1.818,417.308,2.675,18.56,1,PIPPIP
,S4U01616_20170620_221104.wav,0,0,9.972,S4U01616_20170620_221104_001,20/06/2017,22:11:04,22,20/06/2017,10:11:04,10,PIPPIP,34,32,0.941,0.847826,PIPNAT,34,45.702,24.21,3.067,58.348,45.222,48.033,205.888,46.425,1.711,503.905,2.64,9.21,1,PIPPIP
,S4U01616_20170620_221117.wav,0,0,10.156,S4U01616_20170620_221117_001,20/06/2017,22:11:17,22,20/06/2017,10:11:17,10,PIPPIP,38,31,0.816,0.722114,PIPNAT,38,45.322,20.78,3.275,57.376,44.55,47.366,180.193,45.965,1.937,523.724,2.786,10.91,1,PIPPIP
,S4U01616_20170620_221132.wav,0,0,5.88,S4U01616_20170620_221132_001,20/06/2017,22:11:32,22,20/06/2017,10:11:32,10,PIPPIP,19,6,0.316,0.537977,,19,43.907,33.99,3.318,58.607,43.487,46.604,136.325,45.143,1.857,612.7,2.922,4.62,1,PIPPIP
,S4U01616_20170620_221148.wav,0,0,10.188,S4U01616_20170620_221148_001,20/06/2017,22:11:48,22,20/06/2017,10:11:48,10,PIPPIP,41,24,0.585,0.691244,,41,44.313,42.49,3.465,59.481,43.721,47.301,146.961,45.535,2.077,568.956,3.083,11.99,1,PIPPIP
,S4U01616_20170620_221208.wav,0,0,9.92,S4U01616_20170620_221208_001,20/06/2017,22:12:08,22,20/06/2017,10:12:08,10,PIPPIP,39,33,0.846,0.785593,PIPPYG,39,45.972,15.15,3.132,58.055,45.372,48.122,188.004,46.842,1.676,449.78,2.729,9.31,1,PIPPIP
